stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
思创医惠,300078.SZ,20231229,4.31,4.39,4.29,4.38,4.31,0.07,1.6241,81284.62,35448.236
思创医惠,300078.SZ,20231228,4.3,4.33,4.21,4.31,4.28,0.03,0.7009,94912.86,40743.57
思创医惠,300078.SZ,20231227,4.26,4.32,4.23,4.28,4.24,0.04,0.9434,81349.0,34746.015
思创医惠,300078.SZ,20231226,4.32,4.37,4.22,4.24,4.33,-0.09,-2.0785,76248.66,32416.669
思创医惠,300078.SZ,20231225,4.37,4.43,4.3,4.33,4.36,-0.03,-0.6881,66191.0,28735.83
思创医惠,300078.SZ,20231222,4.5,4.53,4.34,4.36,4.49,-0.13,-2.8953,71375.4,31364.246
思创医惠,300078.SZ,20231221,4.44,4.5,4.37,4.49,4.45,0.04,0.8989,78617.0,34887.593
思创医惠,300078.SZ,20231220,4.54,4.57,4.45,4.45,4.54,-0.09,-1.9824,67951.44,30565.201
思创医惠,300078.SZ,20231219,4.51,4.55,4.48,4.54,4.52,0.02,0.4425,59259.66,26773.47
思创医惠,300078.SZ,20231218,4.59,4.63,4.51,4.52,4.6,-0.08,-1.7391,66450.0,30294.283
思创医惠,300078.SZ,20231215,4.63,4.7,4.57,4.6,4.63,-0.03,-0.6479,66225.44,30478.245
思创医惠,300078.SZ,20231214,4.69,4.75,4.62,4.63,4.67,-0.04,-0.8565,72961.58,34123.129
思创医惠,300078.SZ,20231213,4.71,4.75,4.66,4.67,4.7,-0.03,-0.6383,75180.05,35364.104
思创医惠,300078.SZ,20231212,4.72,4.76,4.69,4.7,4.71,-0.01,-0.2123,69987.91,33065.963
思创医惠,300078.SZ,20231211,4.64,4.72,4.59,4.71,4.64,0.07,1.5086,104931.95,48777.625
思创医惠,300078.SZ,20231208,4.73,4.78,4.62,4.64,4.74,-0.1,-2.1097,113145.1,53138.26
思创医惠,300078.SZ,20231207,4.71,4.79,4.68,4.74,4.69,0.05,1.0661,85289.2,40376.355
思创医惠,300078.SZ,20231206,4.67,4.73,4.61,4.69,4.68,0.01,0.2137,93576.99,43812.678
思创医惠,300078.SZ,20231205,4.8,4.81,4.67,4.68,4.81,-0.13,-2.7027,92243.0,43655.6
思创医惠,300078.SZ,20231204,4.82,4.89,4.8,4.81,4.83,-0.02,-0.4141,94768.67,45865.513
思创医惠,300078.SZ,20231201,4.7,4.85,4.68,4.83,4.74,0.09,1.8987,106104.06,50872.499
思创医惠,300078.SZ,20231130,4.77,4.79,4.68,4.74,4.77,-0.03,-0.6289,101027.11,47760.335
思创医惠,300078.SZ,20231129,4.85,4.85,4.76,4.77,4.83,-0.06,-1.2422,78274.59,37527.821
思创医惠,300078.SZ,20231128,4.77,4.89,4.75,4.83,4.77,0.06,1.2579,92708.63,44688.45
思创医惠,300078.SZ,20231127,4.77,4.89,4.76,4.77,4.77,0.0,0.0,133078.66,64123.573
思创医惠,300078.SZ,20231124,4.84,4.87,4.74,4.77,4.86,-0.09,-1.8519,129701.06,62031.3
思创医惠,300078.SZ,20231123,4.85,4.9,4.77,4.86,4.83,0.03,0.6211,136940.41,66398.738
思创医惠,300078.SZ,20231122,4.87,4.96,4.83,4.83,4.88,-0.05,-1.0246,175494.45,85755.389
