stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
海天瑞声,688787.SH,20231229,71.2,73.61,71.2,72.1,71.29,0.81,1.1362,13032.16,94540.021
海天瑞声,688787.SH,20231228,69.7,72.21,68.0,71.29,69.8,1.49,2.1347,14814.31,104708.973
海天瑞声,688787.SH,20231227,68.8,70.95,68.58,69.8,68.99,0.81,1.1741,10139.34,70762.003
海天瑞声,688787.SH,20231226,71.0,71.84,68.5,68.99,71.02,-2.03,-2.8583,13310.59,92583.398
海天瑞声,688787.SH,20231225,70.87,73.2,70.2,71.02,70.68,0.34,0.481,12702.73,90968.85
海天瑞声,688787.SH,20231222,74.58,74.7,70.16,70.68,74.95,-4.27,-5.6971,26117.9,188030.095
海天瑞声,688787.SH,20231221,75.52,77.0,73.1,74.95,75.8,-0.85,-1.1214,23645.54,177205.955
海天瑞声,688787.SH,20231220,79.2,79.2,75.71,75.8,79.11,-3.31,-4.184,17423.43,134228.922
海天瑞声,688787.SH,20231219,79.74,80.95,76.0,79.11,78.93,0.18,0.2281,18249.19,144013.727
海天瑞声,688787.SH,20231218,78.0,83.75,77.89,78.93,77.8,1.13,1.4524,27432.69,221299.329
海天瑞声,688787.SH,20231215,78.01,79.5,76.4,77.8,77.85,-0.05,-0.0642,16657.6,129752.891
海天瑞声,688787.SH,20231214,81.03,81.61,77.5,77.85,81.02,-3.17,-3.9126,26218.6,207875.315
海天瑞声,688787.SH,20231213,80.8,84.88,80.0,81.02,81.22,-0.2,-0.2462,36135.92,297024.731
海天瑞声,688787.SH,20231212,84.09,84.5,80.4,81.22,82.13,-0.91,-1.108,30881.11,252174.525
海天瑞声,688787.SH,20231211,81.7,82.48,79.5,82.13,79.79,2.34,2.9327,35782.48,289686.406
海天瑞声,688787.SH,20231208,79.94,83.29,77.86,79.79,78.37,1.42,1.8119,43674.74,349849.611
海天瑞声,688787.SH,20231207,73.1,81.88,73.1,78.37,73.64,4.73,6.4231,42898.7,334793.978
海天瑞声,688787.SH,20231206,72.51,75.66,71.11,73.64,72.97,0.67,0.9182,19176.81,141009.47
海天瑞声,688787.SH,20231205,77.0,77.0,72.91,72.97,77.72,-4.75,-6.1117,21076.04,156644.702
海天瑞声,688787.SH,20231204,76.9,78.77,76.0,77.72,77.7,0.02,0.0257,25713.37,199886.387
海天瑞声,688787.SH,20231201,71.06,79.39,70.64,77.7,71.0,6.7,9.4366,36148.62,272561.845
海天瑞声,688787.SH,20231130,72.79,73.24,70.3,71.0,72.5,-1.5,-2.069,17349.25,123734.272
海天瑞声,688787.SH,20231129,73.99,74.58,72.2,72.5,74.45,-1.95,-2.6192,16440.05,119962.049
海天瑞声,688787.SH,20231128,74.63,76.27,72.06,74.45,74.12,0.33,0.4452,20431.38,151614.054
海天瑞声,688787.SH,20231127,73.01,76.51,72.95,74.12,73.51,0.61,0.8298,21519.06,160720.305
海天瑞声,688787.SH,20231124,76.19,78.27,73.0,73.51,77.39,-3.88,-5.0136,24678.21,184228.396
海天瑞声,688787.SH,20231123,75.82,78.3,73.5,77.39,77.99,-0.6,-0.7693,34044.09,258026.94
海天瑞声,688787.SH,20231122,76.06,83.5,76.06,77.99,76.32,1.67,2.1882,46693.66,372487.091
海天瑞声,688787.SH,20231121,79.54,81.34,76.03,76.32,77.29,-0.97,-1.255,25579.04,200646.584
海天瑞声,688787.SH,20231120,76.29,78.46,75.8,77.29,76.7,0.59,0.7692,18506.69,143049.048
海天瑞声,688787.SH,20231117,76.17,77.08,75.02,76.7,76.6,0.1,0.1305,19996.64,152175.446
海天瑞声,688787.SH,20231116,78.11,78.59,76.51,76.6,78.32,-1.72,-2.1961,19243.76,148983.987
