stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
流金科技,834021.BJ,20231229,5.58,5.78,5.39,5.73,5.56,0.17,3.0576,278102.6,157620.015
流金科技,834021.BJ,20231228,5.5,5.71,5.42,5.56,5.47,0.09,1.6453,238863.68,132727.46
流金科技,834021.BJ,20231227,5.45,5.58,5.2,5.47,5.58,-0.11,-1.9713,204255.06,110365.452
流金科技,834021.BJ,20231226,5.75,5.89,5.32,5.58,5.39,0.19,3.525,297811.87,167431.543
流金科技,834021.BJ,20231225,5.08,5.4,5.08,5.39,5.18,0.21,4.0541,229101.47,120458.518
流金科技,834021.BJ,20231222,5.1,5.44,5.0,5.18,5.28,-0.1,-1.8939,266978.96,138165.207
流金科技,834021.BJ,20231221,6.08,6.54,4.98,5.28,6.22,-0.94,-15.1125,451374.67,264777.518
流金科技,834021.BJ,20231220,6.0,6.32,5.85,6.22,6.19,0.03,0.4847,393623.7,239018.423
流金科技,834021.BJ,20231219,6.42,6.86,6.18,6.19,6.32,-0.13,-2.057,469851.15,305982.633
流金科技,834021.BJ,20231218,6.27,6.37,6.04,6.32,6.27,0.05,0.7974,404185.47,251089.025
流金科技,834021.BJ,20231215,5.82,6.72,5.78,6.27,5.99,0.28,4.6745,633312.18,396385.999
流金科技,834021.BJ,20231214,5.79,6.35,5.67,5.99,5.83,0.16,2.7444,500110.35,302454.529
流金科技,834021.BJ,20231213,5.72,6.09,5.69,5.83,5.79,0.04,0.6908,377561.77,222369.485
流金科技,834021.BJ,20231212,5.75,5.81,5.5,5.79,5.82,-0.03,-0.5155,328045.52,185303.166
流金科技,834021.BJ,20231211,5.66,6.05,5.52,5.82,5.66,0.16,2.8269,400666.89,234061.897
流金科技,834021.BJ,20231208,5.84,6.08,5.45,5.66,6.15,-0.49,-7.9675,536429.62,307026.044
流金科技,834021.BJ,20231207,5.4,6.8,5.35,6.15,5.4,0.75,13.8889,738602.76,455042.403
流金科技,834021.BJ,20231206,4.8,6.1,4.58,5.4,4.89,0.51,10.4294,615879.74,326640.056
流金科技,834021.BJ,20231205,4.39,5.06,4.26,4.89,4.37,0.52,11.8993,395888.48,188266.642
流金科技,834021.BJ,20231204,4.52,4.67,3.9,4.37,4.83,-0.46,-9.5238,303863.52,133679.706
流金科技,834021.BJ,20231201,4.68,5.19,4.6,4.83,4.56,0.27,5.9211,432551.43,214564.714
流金科技,834021.BJ,20231130,4.48,4.78,4.36,4.56,4.48,0.08,1.7857,263390.76,121396.901
流金科技,834021.BJ,20231129,5.1,5.2,4.36,4.48,5.08,-0.6,-11.811,335477.57,158499.934
流金科技,834021.BJ,20231128,5.22,5.59,5.03,5.08,5.75,-0.67,-11.6522,468224.23,248109.115
流金科技,834021.BJ,20231127,4.98,6.12,4.83,5.75,5.08,0.67,13.189,744530.17,410031.994
流金科技,834021.BJ,20231124,4.61,5.58,4.5,5.08,4.8,0.28,5.8333,687364.1,351657.453
流金科技,834021.BJ,20231123,5.0,5.82,4.53,4.8,5.01,-0.21,-4.1916,816713.82,423035.468
流金科技,834021.BJ,20231122,4.01,5.01,3.66,5.01,3.86,1.15,29.7927,833510.87,369134.552
流金科技,834021.BJ,20231121,3.04,3.86,3.0,3.86,2.97,0.89,29.9663,542587.9,197890.813
流金科技,834021.BJ,20231120,2.87,2.98,2.87,2.97,2.91,0.06,2.0619,53409.14,15739.883
流金科技,834021.BJ,20231117,2.87,2.95,2.85,2.91,2.9,0.01,0.3448,36876.31,10624.76
流金科技,834021.BJ,20231116,2.86,3.01,2.85,2.9,2.85,0.05,1.7544,62194.35,18265.053
流金科技,834021.BJ,20231115,2.85,2.93,2.85,2.85,2.88,-0.03,-1.0417,38031.13,10942.638
流金科技,834021.BJ,20231114,2.87,2.9,2.79,2.88,2.9,-0.02,-0.6897,54351.7,15412.499
流金科技,834021.BJ,20231113,2.79,2.98,2.77,2.9,2.76,0.14,5.0725,80996.4,23607.443
流金科技,834021.BJ,20231110,2.87,2.89,2.76,2.76,2.93,-0.17,-5.802,75045.87,21204.193
流金科技,834021.BJ,20231109,3.06,3.11,2.9,2.93,3.29,-0.36,-10.9422,192919.44,57863.091
