stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
川网传媒,300987.SZ,20231229,17.08,17.98,17.0,17.72,17.13,0.59,3.4442,49449.69,87172.854
川网传媒,300987.SZ,20231228,16.66,17.29,16.42,17.13,16.66,0.47,2.8211,49279.4,83626.685
川网传媒,300987.SZ,20231227,16.89,17.08,16.56,16.66,16.89,-0.23,-1.3618,40923.1,68320.574
川网传媒,300987.SZ,20231226,17.57,17.62,16.78,16.89,17.5,-0.61,-3.4857,54009.19,91899.753
川网传媒,300987.SZ,20231225,18.3,18.45,17.26,17.5,18.21,-0.71,-3.899,69933.89,122900.373
川网传媒,300987.SZ,20231222,19.8,19.85,18.09,18.21,19.74,-1.53,-7.7508,116543.7,217776.849
川网传媒,300987.SZ,20231221,18.99,20.05,18.99,19.74,19.55,0.19,0.9719,86085.23,168552.146
川网传媒,300987.SZ,20231220,21.09,21.2,19.55,19.55,20.55,-1.0,-4.8662,128978.93,258278.661
川网传媒,300987.SZ,20231219,20.24,21.3,20.16,20.55,20.59,-0.04,-0.1943,122754.0,255430.943
川网传媒,300987.SZ,20231218,20.99,21.97,20.16,20.59,20.88,-0.29,-1.3889,154999.52,325010.754
川网传媒,300987.SZ,20231215,20.22,21.5,19.8,20.88,20.11,0.77,3.8289,190955.38,397246.067
川网传媒,300987.SZ,20231214,20.19,20.72,20.04,20.11,20.3,-0.19,-0.936,84089.57,170857.878
川网传媒,300987.SZ,20231213,20.55,20.93,20.2,20.3,20.7,-0.4,-1.9324,91017.51,186660.599
川网传媒,300987.SZ,20231212,20.88,20.98,20.4,20.7,20.68,0.02,0.0967,122384.64,253084.303
川网传媒,300987.SZ,20231211,19.65,20.7,19.54,20.68,19.93,0.75,3.7632,118074.83,240969.791
川网传媒,300987.SZ,20231208,20.4,20.45,19.91,19.93,20.85,-0.92,-4.4125,109568.5,220961.674
川网传媒,300987.SZ,20231207,20.43,21.08,20.25,20.85,20.43,0.42,2.0558,159607.52,331097.811
川网传媒,300987.SZ,20231206,19.6,20.61,19.33,20.43,19.77,0.66,3.3384,139430.29,281801.977
川网传媒,300987.SZ,20231205,20.02,20.32,19.65,19.77,20.32,-0.55,-2.7067,100664.43,200634.409
川网传媒,300987.SZ,20231204,19.78,20.8,19.65,20.32,19.84,0.48,2.4194,161441.73,328309.68
川网传媒,300987.SZ,20231201,19.08,20.0,18.77,19.84,18.96,0.88,4.6414,122415.65,240396.526
川网传媒,300987.SZ,20231130,19.1,19.45,18.7,18.96,19.22,-0.26,-1.3528,66341.85,126760.072
川网传媒,300987.SZ,20231129,19.1,19.5,18.76,19.22,19.29,-0.07,-0.3629,64248.35,123054.891
川网传媒,300987.SZ,20231128,18.8,19.57,18.51,19.29,18.86,0.43,2.28,85907.07,163397.033
川网传媒,300987.SZ,20231127,18.99,19.25,18.41,18.86,19.53,-0.67,-3.4306,102969.43,193270.414
川网传媒,300987.SZ,20231124,19.35,20.19,19.25,19.53,19.37,0.16,0.826,128647.48,253715.849
川网传媒,300987.SZ,20231123,20.14,20.2,19.13,19.37,20.46,-1.09,-5.3275,151876.85,296483.738
川网传媒,300987.SZ,20231122,19.62,21.13,19.48,20.46,20.15,0.31,1.5385,243286.49,489728.211
川网传媒,300987.SZ,20231121,18.97,20.72,18.95,20.15,19.03,1.12,5.8854,262833.0,521600.937
川网传媒,300987.SZ,20231120,19.01,19.55,18.77,19.03,19.62,-0.59,-3.0071,186291.9,354446.478
川网传媒,300987.SZ,20231117,17.96,21.7,17.96,19.62,18.16,1.46,8.0396,189137.63,374825.292
川网传媒,300987.SZ,20231116,17.77,18.51,17.7,18.16,17.77,0.39,2.1947,43069.78,78556.052
川网传媒,300987.SZ,20231115,18.12,18.2,17.73,17.77,18.05,-0.28,-1.5512,18819.92,33667.417
川网传媒,300987.SZ,20231114,18.0,18.13,17.78,18.05,17.89,0.16,0.8944,19920.1,35911.313
川网传媒,300987.SZ,20231113,17.8,18.09,17.61,17.89,17.65,0.24,1.3598,23534.5,42128.374
川网传媒,300987.SZ,20231110,17.7,17.94,17.49,17.65,17.91,-0.26,-1.4517,25804.69,45528.129
川网传媒,300987.SZ,20231109,18.16,18.45,17.79,17.91,18.31,-0.4,-2.1846,37177.67,66960.144
川网传媒,300987.SZ,20231108,17.67,18.55,17.67,18.31,17.83,0.48,2.6921,57358.51,104898.846
川网传媒,300987.SZ,20231107,17.65,17.93,17.38,17.83,17.65,0.18,1.0198,29791.4,52873.089
川网传媒,300987.SZ,20231106,17.15,17.65,16.99,17.65,16.98,0.67,3.9458,39940.51,69701.354
川网传媒,300987.SZ,20231103,17.04,17.19,16.83,16.98,16.98,0.0,0.0,34625.5,58896.238
川网传媒,300987.SZ,20231102,16.91,17.35,16.77,16.98,16.89,0.09,0.5329,45427.77,77908.558
川网传媒,300987.SZ,20231101,16.79,17.15,16.63,16.89,16.74,0.15,0.8961,20540.07,34842.187
川网传媒,300987.SZ,20231031,16.67,17.1,16.62,16.74,16.64,0.1,0.601,21198.47,35613.011
川网传媒,300987.SZ,20231030,16.08,16.72,16.03,16.64,16.08,0.56,3.4826,23754.4,39100.051
川网传媒,300987.SZ,20231027,16.04,16.14,15.78,16.08,16.08,0.0,0.0,16280.01,26031.47
川网传媒,300987.SZ,20231026,16.13,16.33,15.87,16.08,16.13,-0.05,-0.31,14245.01,22848.47
川网传媒,300987.SZ,20231025,15.99,16.29,15.92,16.13,15.94,0.19,1.192,16940.37,27281.645
川网传媒,300987.SZ,20231024,15.23,16.02,15.13,15.94,15.08,0.86,5.7029,25395.15,40052.165
川网传媒,300987.SZ,20231023,15.63,15.64,14.98,15.08,15.58,-0.5,-3.2092,18794.17,28657.703
川网传媒,300987.SZ,20231020,15.92,16.15,15.54,15.58,15.92,-0.34,-2.1357,15065.41,23674.69
川网传媒,300987.SZ,20231019,16.05,16.31,15.91,15.92,16.09,-0.17,-1.0566,18373.4,29576.76
川网传媒,300987.SZ,20231018,16.37,16.4,16.0,16.09,16.49,-0.4,-2.4257,19168.27,30933.206
川网传媒,300987.SZ,20231017,16.42,16.52,16.21,16.49,16.42,0.07,0.4263,14587.2,23876.888
川网传媒,300987.SZ,20231016,16.41,16.59,16.29,16.42,16.43,-0.01,-0.0609,17364.6,28495.27
川网传媒,300987.SZ,20231013,16.65,16.65,16.41,16.43,16.66,-0.23,-1.3806,15072.9,24855.774
川网传媒,300987.SZ,20231012,17.11,17.18,16.61,16.66,17.05,-0.39,-2.2874,23114.81,38691.106
川网传媒,300987.SZ,20231011,16.69,17.24,16.6,17.05,16.74,0.31,1.8519,21022.0,35735.638
川网传媒,300987.SZ,20231010,16.74,16.99,16.7,16.74,16.68,0.06,0.3597,17364.94,29140.223
川网传媒,300987.SZ,20231009,16.89,16.89,16.57,16.68,16.89,-0.21,-1.2433,21875.8,36558.404
川网传媒,300987.SZ,20230928,16.67,17.0,16.67,16.89,16.7,0.19,1.1377,16840.8,28459.54
川网传媒,300987.SZ,20230927,16.64,16.87,16.55,16.7,16.64,0.06,0.3606,22373.94,37421.543
川网传媒,300987.SZ,20230926,16.49,16.85,16.4,16.64,16.52,0.12,0.7264,20022.24,33373.323
川网传媒,300987.SZ,20230925,16.77,16.98,16.37,16.52,16.68,-0.16,-0.9592,21912.54,36367.086
川网传媒,300987.SZ,20230922,15.94,16.7,15.85,16.68,15.94,0.74,4.6424,29796.46,49021.106
川网传媒,300987.SZ,20230921,16.1,16.31,15.9,15.94,16.0,-0.06,-0.375,18452.48,29658.313
川网传媒,300987.SZ,20230920,16.1,16.38,16.0,16.0,16.15,-0.15,-0.9288,14031.7,22688.271
川网传媒,300987.SZ,20230919,16.51,16.54,16.15,16.15,16.51,-0.36,-2.1805,20385.0,33237.403
川网传媒,300987.SZ,20230918,16.21,16.61,16.05,16.51,16.3,0.21,1.2883,18688.44,30675.615
川网传媒,300987.SZ,20230915,16.55,16.62,16.22,16.3,16.49,-0.19,-1.1522,26250.0,42989.344
川网传媒,300987.SZ,20230914,16.94,16.94,16.38,16.49,16.95,-0.46,-2.7139,25267.2,41904.971
川网传媒,300987.SZ,20230913,17.35,17.49,16.79,16.95,17.37,-0.42,-2.418,29541.3,50403.142
川网传媒,300987.SZ,20230912,17.7,17.78,17.35,17.37,17.69,-0.32,-1.8089,21545.08,37644.61
川网传媒,300987.SZ,20230911,17.2,17.8,17.2,17.69,17.2,0.49,2.8488,39990.62,70431.839
川网传媒,300987.SZ,20230908,17.83,17.83,17.04,17.2,17.81,-0.61,-3.425,35199.74,60837.141
川网传媒,300987.SZ,20230907,17.84,18.19,17.72,17.81,17.9,-0.09,-0.5028,32474.4,58348.097
川网传媒,300987.SZ,20230906,17.98,17.98,17.65,17.9,18.02,-0.12,-0.6659,21031.9,37468.949
川网传媒,300987.SZ,20230905,18.36,18.36,17.84,18.02,18.4,-0.38,-2.0652,25257.84,45546.974
