stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
豪能股份,603809.SH,20231229,11.37,11.85,11.36,11.85,11.5,0.35,3.0435,49514.2,57575.432
豪能股份,603809.SH,20231228,11.14,11.5,11.1,11.5,11.25,0.25,2.2222,27185.35,30844.47
豪能股份,603809.SH,20231227,11.06,11.28,11.04,11.25,11.11,0.14,1.2601,26968.6,30151.061
豪能股份,603809.SH,20231226,11.36,11.36,11.04,11.11,11.33,-0.22,-1.9417,26835.6,29931.228
豪能股份,603809.SH,20231225,11.43,11.45,11.25,11.33,11.5,-0.17,-1.4783,28435.4,32217.492
豪能股份,603809.SH,20231222,11.55,11.66,11.32,11.5,11.45,0.05,0.4367,27116.0,31126.15
豪能股份,603809.SH,20231221,11.36,11.45,11.13,11.45,11.53,-0.08,-0.6938,39463.9,44524.78
豪能股份,603809.SH,20231220,11.68,11.74,11.33,11.53,11.78,-0.25,-2.1222,34586.87,39752.039
豪能股份,603809.SH,20231219,12.0,12.0,11.51,11.78,11.91,-0.13,-1.0915,35823.6,41811.463
豪能股份,603809.SH,20231218,11.87,12.08,11.75,11.91,11.95,-0.04,-0.3347,29559.54,35145.742
豪能股份,603809.SH,20231215,11.83,12.08,11.72,11.95,11.99,-0.04,-0.3336,47124.14,56187.797
豪能股份,603809.SH,20231214,11.85,12.12,11.72,11.99,11.85,0.14,1.1814,69383.07,83199.386
豪能股份,603809.SH,20231213,11.56,12.08,11.48,11.85,11.55,0.3,2.5974,59778.13,70613.393
豪能股份,603809.SH,20231212,11.61,11.78,11.51,11.55,11.69,-0.14,-1.1976,30611.99,35581.642
豪能股份,603809.SH,20231211,11.31,11.72,11.26,11.69,11.39,0.3,2.6339,45606.35,52741.789
豪能股份,603809.SH,20231208,11.5,11.72,11.34,11.39,11.65,-0.26,-2.2318,44203.97,50777.254
豪能股份,603809.SH,20231207,11.91,11.93,11.56,11.65,11.93,-0.28,-2.347,46514.15,54371.52
豪能股份,603809.SH,20231206,11.92,12.21,11.89,11.93,11.89,0.04,0.3364,38329.88,46192.975
豪能股份,603809.SH,20231205,12.08,12.24,11.89,11.89,12.08,-0.19,-1.5728,44512.85,53705.066
豪能股份,603809.SH,20231204,12.22,12.27,12.06,12.08,12.24,-0.16,-1.3072,28528.1,34641.671
豪能股份,603809.SH,20231201,12.17,12.25,11.96,12.24,12.17,0.07,0.5752,52464.58,63543.188
豪能股份,603809.SH,20231130,12.45,12.62,12.03,12.17,12.38,-0.21,-1.6963,68321.49,83597.384
豪能股份,603809.SH,20231129,12.64,12.65,12.34,12.38,12.59,-0.21,-1.668,40430.32,50425.875
豪能股份,603809.SH,20231128,12.4,12.71,12.32,12.59,12.41,0.18,1.4504,58685.78,73500.565
豪能股份,603809.SH,20231127,12.25,12.48,12.24,12.41,12.3,0.11,0.8943,44271.75,54792.015
豪能股份,603809.SH,20231124,12.6,12.63,12.29,12.3,12.64,-0.34,-2.6899,47628.96,58908.665
豪能股份,603809.SH,20231123,12.19,12.77,12.15,12.64,12.28,0.36,2.9316,75789.4,95031.313
豪能股份,603809.SH,20231122,12.32,12.61,12.15,12.28,12.42,-0.14,-1.1272,69566.37,85979.588
豪能股份,603809.SH,20231121,12.76,12.9,12.39,12.42,12.85,-0.43,-3.3463,82024.56,103240.442
豪能股份,603809.SH,20231120,12.5,13.1,12.33,12.85,12.44,0.41,3.2958,169790.15,215892.532
豪能股份,603809.SH,20231117,12.07,12.67,12.07,12.44,12.13,0.31,2.5556,100364.77,124371.811
豪能股份,603809.SH,20231116,12.2,12.45,12.12,12.13,12.26,-0.13,-1.0604,69743.98,85592.333
豪能股份,603809.SH,20231115,12.2,12.44,11.98,12.26,12.2,0.06,0.4918,90113.87,109837.306
豪能股份,603809.SH,20231114,12.19,12.24,12.02,12.2,12.26,-0.06,-0.4894,66619.74,80875.804
豪能股份,603809.SH,20231113,11.98,12.3,11.91,12.26,11.97,0.29,2.4227,92738.4,112979.065
豪能股份,603809.SH,20231110,12.15,12.15,11.73,11.97,12.08,-0.11,-0.9106,76072.57,90586.02
豪能股份,603809.SH,20231109,12.1,12.3,11.86,12.08,12.13,-0.05,-0.4122,87597.62,105811.988
豪能股份,603809.SH,20231108,12.37,12.37,11.99,12.13,12.36,-0.23,-1.8608,119191.87,144413.18
豪能股份,603809.SH,20231107,12.48,12.72,12.2,12.36,12.47,-0.11,-0.8821,162914.32,202209.786
豪能股份,603809.SH,20231106,12.33,12.77,12.15,12.47,12.33,0.14,1.1354,219298.62,274102.066
豪能股份,603809.SH,20231103,12.0,12.69,11.78,12.33,12.01,0.32,2.6644,271161.27,334225.142
豪能股份,603809.SH,20231102,11.46,12.15,11.28,12.01,11.58,0.43,3.7133,226247.51,267920.664
豪能股份,603809.SH,20231101,11.37,11.66,11.22,11.58,11.43,0.15,1.3123,134048.47,154254.157
豪能股份,603809.SH,20231031,11.6,11.96,11.16,11.43,11.62,-0.19,-1.6351,194210.79,223159.093
豪能股份,603809.SH,20231030,11.46,11.63,11.16,11.62,11.6,0.02,0.1724,171285.75,195807.635
豪能股份,603809.SH,20231027,11.72,11.89,11.3,11.6,11.96,-0.36,-3.01,242988.17,280633.813
豪能股份,603809.SH,20231026,12.32,12.64,11.53,11.96,12.17,-0.21,-1.7256,411114.08,495134.176
豪能股份,603809.SH,20231025,10.96,12.17,10.86,12.17,11.06,1.11,10.0362,292918.97,348807.128
豪能股份,603809.SH,20231024,10.56,11.07,10.46,11.06,10.68,0.38,3.5581,88857.23,95969.3
豪能股份,603809.SH,20231023,10.99,11.01,10.56,10.68,10.86,-0.18,-1.6575,67481.82,72246.486
豪能股份,603809.SH,20231020,11.1,11.29,10.8,10.86,11.09,-0.23,-2.0739,64398.52,70824.627
豪能股份,603809.SH,20231019,11.23,11.49,11.0,11.09,11.4,-0.31,-2.7193,81837.34,91775.421
豪能股份,603809.SH,20231018,11.25,11.61,11.14,11.4,11.31,0.09,0.7958,76637.21,87754.839
豪能股份,603809.SH,20231017,11.19,11.49,11.03,11.31,11.26,0.05,0.444,66478.3,75247.822
豪能股份,603809.SH,20231016,11.47,11.63,11.19,11.26,11.53,-0.27,-2.3417,70980.85,80350.348
豪能股份,603809.SH,20231013,11.37,11.71,11.25,11.53,11.43,0.1,0.8749,85639.46,98652.464
豪能股份,603809.SH,20231012,11.15,11.98,11.03,11.43,11.15,0.28,2.5112,147213.77,168741.883
豪能股份,603809.SH,20231011,10.8,11.41,10.58,11.15,10.95,0.2,1.8265,133177.94,146673.939
豪能股份,603809.SH,20231010,10.4,11.18,10.4,10.95,10.26,0.69,6.7251,142632.3,155479.219
豪能股份,603809.SH,20231009,10.2,10.35,10.15,10.26,10.21,0.05,0.4897,29529.44,30287.63
豪能股份,603809.SH,20230928,10.0,10.33,9.98,10.21,10.0,0.21,2.1,34003.42,34685.359
豪能股份,603809.SH,20230927,9.9,10.14,9.8,10.0,9.91,0.09,0.9082,29299.2,29417.069
豪能股份,603809.SH,20230926,9.91,10.05,9.87,9.91,10.06,-0.15,-1.4911,16627.51,16509.43
豪能股份,603809.SH,20230925,9.93,10.18,9.81,10.06,9.93,0.13,1.3092,26670.68,26724.386
豪能股份,603809.SH,20230922,9.81,9.95,9.64,9.93,9.73,0.2,2.0555,20107.06,19738.357
豪能股份,603809.SH,20230921,9.89,9.99,9.71,9.73,9.92,-0.19,-1.9153,26959.4,26408.268
豪能股份,603809.SH,20230920,10.1,10.2,9.9,9.92,10.1,-0.18,-1.7822,23653.0,23657.613
豪能股份,603809.SH,20230919,10.13,10.17,9.92,10.1,10.16,-0.06,-0.5906,33013.29,33140.348
豪能股份,603809.SH,20230918,9.94,10.44,9.84,10.16,9.91,0.25,2.5227,57610.62,58817.543
豪能股份,603809.SH,20230915,10.05,10.05,9.8,9.91,9.99,-0.08,-0.8008,26171.68,25891.869
豪能股份,603809.SH,20230914,10.18,10.19,9.92,9.99,10.19,-0.2,-1.9627,23716.0,23791.403
豪能股份,603809.SH,20230913,10.41,10.44,10.1,10.19,10.44,-0.25,-2.3946,22117.2,22576.26
豪能股份,603809.SH,20230912,10.43,10.49,10.3,10.44,10.35,0.09,0.8696,21628.9,22536.229
豪能股份,603809.SH,20230911,10.26,10.39,10.16,10.35,10.28,0.07,0.6809,22858.35,23555.903
豪能股份,603809.SH,20230908,10.01,10.33,9.97,10.28,10.02,0.26,2.5948,33437.5,34149.241
豪能股份,603809.SH,20230907,10.21,10.24,10.02,10.02,10.25,-0.23,-2.2439,33170.6,33428.284
豪能股份,603809.SH,20230906,10.16,10.26,10.1,10.25,10.19,0.06,0.5888,16056.52,16369.653
豪能股份,603809.SH,20230905,10.23,10.28,10.1,10.19,10.24,-0.05,-0.4883,24603.0,25024.755
豪能股份,603809.SH,20230904,10.25,10.58,10.06,10.24,10.3,-0.06,-0.5825,46519.9,47323.085
豪能股份,603809.SH,20230901,10.02,10.32,9.98,10.3,10.04,0.26,2.5896,35969.03,36654.21
豪能股份,603809.SH,20230831,10.4,10.4,9.99,10.04,10.37,-0.33,-3.1823,44395.57,44782.739
豪能股份,603809.SH,20230830,10.35,10.55,10.31,10.37,10.37,0.0,0.0,27821.46,29047.933
豪能股份,603809.SH,20230829,9.74,10.42,9.7,10.37,9.77,0.6,6.1412,52005.07,53192.134
豪能股份,603809.SH,20230828,10.08,10.1,9.71,9.77,9.66,0.11,1.1387,26398.22,26337.415
豪能股份,603809.SH,20230825,10.02,10.02,9.61,9.66,9.87,-0.21,-2.1277,23903.16,23169.178
