stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
倍益康,870199.BJ,20231229,16.36,17.18,16.18,16.8,16.57,0.23,1.3881,13627.53,22708.988
倍益康,870199.BJ,20231228,16.83,16.94,16.34,16.57,16.9,-0.33,-1.9527,12170.73,20204.354
倍益康,870199.BJ,20231227,16.19,16.9,15.82,16.9,16.14,0.76,4.7088,21186.82,35015.491
倍益康,870199.BJ,20231226,15.57,16.26,15.05,16.14,15.32,0.82,5.3525,17467.44,27298.782
倍益康,870199.BJ,20231225,14.85,15.32,14.71,15.32,14.85,0.47,3.165,7960.37,12013.912
倍益康,870199.BJ,20231222,14.61,14.85,14.34,14.85,14.68,0.17,1.158,3622.33,5276.175
倍益康,870199.BJ,20231221,15.73,16.0,14.51,14.68,15.83,-1.15,-7.2647,10727.23,16423.581
倍益康,870199.BJ,20231220,15.25,16.08,15.25,15.83,15.37,0.46,2.9928,8522.04,13361.34
倍益康,870199.BJ,20231219,15.71,15.92,15.15,15.37,15.87,-0.5,-3.1506,4815.44,7393.037
倍益康,870199.BJ,20231218,15.66,15.96,15.44,15.87,15.58,0.29,1.8614,6742.82,10673.899
倍益康,870199.BJ,20231215,15.37,15.77,15.11,15.58,15.2,0.38,2.5,7524.19,11626.542
倍益康,870199.BJ,20231214,14.51,15.83,14.41,15.2,14.47,0.73,5.0449,12532.45,19060.725
倍益康,870199.BJ,20231213,13.9,14.61,13.8,14.47,14.04,0.43,3.0627,5300.94,7638.381
倍益康,870199.BJ,20231212,13.78,14.17,13.77,14.04,13.78,0.26,1.8868,2706.98,3766.307
倍益康,870199.BJ,20231211,14.73,14.73,13.71,13.78,14.56,-0.78,-5.3571,5304.3,7442.177
倍益康,870199.BJ,20231208,14.79,15.0,14.48,14.56,14.69,-0.13,-0.885,6189.35,9124.926
倍益康,870199.BJ,20231207,14.28,14.69,14.07,14.69,14.21,0.48,3.3779,7082.62,10297.271
倍益康,870199.BJ,20231206,14.18,14.6,13.77,14.21,14.02,0.19,1.3552,6094.97,8719.123
倍益康,870199.BJ,20231205,13.13,14.2,13.13,14.02,13.13,0.89,6.7784,5861.3,8121.823
倍益康,870199.BJ,20231204,13.29,13.29,12.94,13.13,13.18,-0.05,-0.3794,1556.63,2035.027
倍益康,870199.BJ,20231201,13.57,13.7,13.05,13.18,13.37,-0.19,-1.4211,2770.72,3671.857
倍益康,870199.BJ,20231130,13.69,14.12,13.14,13.37,13.89,-0.52,-3.7437,4648.92,6279.764
倍益康,870199.BJ,20231129,14.58,15.0,13.68,13.89,14.71,-0.82,-5.5744,9187.48,13182.508
倍益康,870199.BJ,20231128,15.0,15.88,14.34,14.71,15.96,-1.25,-7.8321,13905.39,20916.266
倍益康,870199.BJ,20231127,14.5,16.6,14.4,15.96,13.96,2.0,14.3266,30157.14,46258.97
倍益康,870199.BJ,20231124,12.53,14.0,12.31,13.96,12.45,1.51,12.1285,17032.16,22820.232
倍益康,870199.BJ,20231123,12.83,13.49,12.0,12.45,12.79,-0.34,-2.6583,12048.74,15531.453
倍益康,870199.BJ,20231122,11.52,12.89,11.52,12.79,11.5,1.29,11.2174,11242.65,13818.244
倍益康,870199.BJ,20231121,10.8,11.9,10.8,11.5,10.81,0.69,6.383,6126.53,7037.615
倍益康,870199.BJ,20231120,10.79,11.0,10.67,10.96,10.71,0.25,2.3343,1437.32,1564.694
倍益康,870199.BJ,20231117,10.69,10.71,10.6,10.71,10.72,-0.01,-0.0933,504.88,536.876
倍益康,870199.BJ,20231116,10.78,10.78,10.62,10.72,10.77,-0.05,-0.4643,319.45,341.097
倍益康,870199.BJ,20231115,10.55,10.77,10.55,10.77,10.64,0.13,1.2218,1118.5,1201.576
倍益康,870199.BJ,20231114,10.59,10.68,10.56,10.64,10.59,0.05,0.4721,398.03,422.182
倍益康,870199.BJ,20231113,10.69,10.69,10.5,10.59,10.56,0.03,0.2841,535.58,564.427
倍益康,870199.BJ,20231110,10.61,10.75,10.5,10.56,10.71,-0.15,-1.4006,554.58,586.101
倍益康,870199.BJ,20231109,10.38,10.8,10.35,10.71,10.34,0.37,3.5783,1810.19,1924.871
倍益康,870199.BJ,20231108,10.09,10.44,10.09,10.34,10.25,0.09,0.878,950.12,984.536
倍益康,870199.BJ,20231107,10.29,10.29,10.03,10.25,10.23,0.02,0.1955,235.2,240.275
倍益康,870199.BJ,20231106,10.07,10.24,10.07,10.23,10.1,0.13,1.2871,450.61,458.72
倍益康,870199.BJ,20231103,10.07,10.15,10.05,10.1,10.04,0.06,0.5976,159.98,161.498
倍益康,870199.BJ,20231102,10.14,10.14,10.01,10.04,10.05,-0.01,-0.0995,38.9,39.059
倍益康,870199.BJ,20231101,9.99,10.09,9.99,10.05,10.05,0.0,0.0,207.96,208.293
倍益康,870199.BJ,20231031,10.16,10.16,10.01,10.05,10.1,-0.05,-0.495,237.41,239.061
倍益康,870199.BJ,20231030,10.12,10.12,10.01,10.1,10.01,0.09,0.8991,359.68,362.056
倍益康,870199.BJ,20231027,10.1,10.1,9.89,10.01,9.96,0.05,0.502,1298.15,1290.691
倍益康,870199.BJ,20231026,9.9,10.03,9.88,9.96,10.03,-0.07,-0.6979,193.02,191.274
倍益康,870199.BJ,20231025,10.14,10.14,10.0,10.03,10.06,-0.03,-0.2982,182.53,182.807
倍益康,870199.BJ,20231024,9.91,10.06,9.9,10.06,9.98,0.08,0.8016,430.44,428.93
倍益康,870199.BJ,20231023,10.22,10.29,9.91,9.98,10.22,-0.24,-2.3483,650.78,656.539
倍益康,870199.BJ,20231020,10.55,10.55,10.21,10.22,10.58,-0.36,-3.4026,968.6,1004.978
倍益康,870199.BJ,20231019,10.71,10.71,10.57,10.58,10.79,-0.21,-1.9462,546.47,581.11
倍益康,870199.BJ,20231018,10.92,10.98,10.79,10.79,10.92,-0.13,-1.1905,301.08,326.407
倍益康,870199.BJ,20231017,11.01,11.01,10.88,10.92,11.07,-0.15,-1.355,557.77,610.145
倍益康,870199.BJ,20231016,11.16,11.33,11.0,11.07,11.22,-0.15,-1.3369,992.79,1101.435
倍益康,870199.BJ,20231013,11.23,11.43,11.16,11.22,11.32,-0.1,-0.8834,330.3,370.661
倍益康,870199.BJ,20231012,11.33,11.34,11.27,11.32,11.43,-0.11,-0.9624,507.8,573.701
倍益康,870199.BJ,20231011,11.3,11.54,11.3,11.43,11.44,-0.01,-0.0874,34.6,39.474
