ticker,instrument,name,sector,currency,created_date,last_updated_date
MMM,stock,3M,Industrial Conglomerates,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AOS,stock,A. O. Smith,Building Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ABT,stock,Abbott,Health Care Equipment,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ABBV,stock,AbbVie,Biotechnology,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ACN,stock,Accenture,IT Consulting & Other Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ADBE,stock,Adobe Inc.,Application Software,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AMD,stock,Advanced Micro Devices,Semiconductors,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AES,stock,AES Corporation,Independent Power Producers & Energy Traders,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AFL,stock,Aflac,Life & Health Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
A,stock,Agilent Technologies,Life Sciences Tools & Services,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
APD,stock,Air Products and Chemicals,Industrial Gases,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ABNB,stock,Airbnb,"Hotels, Resorts & Cruise Lines",USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
AKAM,stock,Akamai,Internet Services & Infrastructure,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ALB,stock,Albemarle Corporation,Specialty Chemicals,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ARE,stock,Alexandria Real Estate Equities,Office REITs,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ALGN,stock,Align Technology,Health Care Supplies,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ALLE,stock,Allegion,Building Products,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
LNT,stock,Alliant Energy,Electric Utilities,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
ALL,stock,Allstate,Property & Casualty Insurance,USD,2024-07-10 17:26:07.399488,2024-07-10 17:26:07.399488
