stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
青松股份,300132.SZ,20231229,5.27,5.33,5.21,5.22,5.27,-0.05,-0.9488,52659.0,27591.631
青松股份,300132.SZ,20231228,5.18,5.3,5.1,5.27,5.18,0.09,1.7375,48279.0,25258.036
青松股份,300132.SZ,20231227,5.17,5.26,5.12,5.18,5.15,0.03,0.5825,44687.0,23126.969
青松股份,300132.SZ,20231226,5.24,5.25,5.14,5.15,5.21,-0.06,-1.1516,37562.0,19430.669
青松股份,300132.SZ,20231225,5.27,5.29,5.16,5.21,5.27,-0.06,-1.1385,52620.0,27377.425
青松股份,300132.SZ,20231222,5.35,5.36,5.23,5.27,5.34,-0.07,-1.3109,59277.0,31333.833
青松股份,300132.SZ,20231221,5.27,5.36,5.22,5.34,5.27,0.07,1.3283,66828.0,35342.039
青松股份,300132.SZ,20231220,5.38,5.42,5.27,5.27,5.36,-0.09,-1.6791,53986.0,28775.721
青松股份,300132.SZ,20231219,5.29,5.4,5.28,5.36,5.31,0.05,0.9416,45709.01,24365.427
青松股份,300132.SZ,20231218,5.41,5.42,5.28,5.31,5.36,-0.05,-0.9328,62977.0,33672.48
青松股份,300132.SZ,20231215,5.41,5.44,5.35,5.36,5.38,-0.02,-0.3717,48714.0,26228.284
青松股份,300132.SZ,20231214,5.45,5.5,5.36,5.38,5.41,-0.03,-0.5545,45845.0,24882.484
青松股份,300132.SZ,20231213,5.43,5.46,5.4,5.41,5.43,-0.02,-0.3683,46749.5,25355.562
青松股份,300132.SZ,20231212,5.42,5.46,5.32,5.43,5.38,0.05,0.9294,60369.5,32643.606
青松股份,300132.SZ,20231211,5.37,5.45,5.33,5.38,5.39,-0.01,-0.1855,78894.0,42488.48
青松股份,300132.SZ,20231208,5.53,5.57,5.37,5.39,5.5,-0.11,-2.0,65810.06,35732.317
青松股份,300132.SZ,20231207,5.58,5.61,5.5,5.5,5.6,-0.1,-1.7857,62942.0,34768.696
青松股份,300132.SZ,20231206,5.48,5.64,5.48,5.6,5.48,0.12,2.1898,69648.0,39005.446
青松股份,300132.SZ,20231205,5.6,5.61,5.48,5.48,5.59,-0.11,-1.9678,45538.0,25204.438
青松股份,300132.SZ,20231204,5.6,5.61,5.5,5.59,5.57,0.02,0.3591,58927.0,32774.274
青松股份,300132.SZ,20231201,5.61,5.61,5.51,5.57,5.57,0.0,0.0,41177.0,22937.898
青松股份,300132.SZ,20231130,5.61,5.64,5.52,5.57,5.61,-0.04,-0.713,40248.0,22373.939
青松股份,300132.SZ,20231129,5.61,5.69,5.56,5.61,5.59,0.02,0.3578,54695.0,30815.791
青松股份,300132.SZ,20231128,5.58,5.66,5.56,5.59,5.59,0.0,0.0,37900.73,21260.885
青松股份,300132.SZ,20231127,5.59,5.63,5.54,5.59,5.6,-0.01,-0.1786,68497.0,38188.03
青松股份,300132.SZ,20231124,5.64,5.67,5.57,5.6,5.64,-0.04,-0.7092,46125.0,25860.653
青松股份,300132.SZ,20231123,5.58,5.66,5.58,5.64,5.6,0.04,0.7143,48426.0,27241.96
青松股份,300132.SZ,20231122,5.61,5.7,5.6,5.6,5.64,-0.04,-0.7092,55356.3,31175.614
青松股份,300132.SZ,20231121,5.69,5.74,5.61,5.64,5.65,-0.01,-0.177,65864.0,37302.725
青松股份,300132.SZ,20231120,5.57,5.7,5.55,5.65,5.57,0.08,1.4363,79241.0,44706.372
青松股份,300132.SZ,20231117,5.56,5.64,5.56,5.57,5.6,-0.03,-0.5357,48981.0,27393.883
青松股份,300132.SZ,20231116,5.55,5.66,5.52,5.6,5.55,0.05,0.9009,83450.12,46904.074
青松股份,300132.SZ,20231115,5.46,5.6,5.46,5.55,5.47,0.08,1.4625,80973.0,44991.026
青松股份,300132.SZ,20231114,5.5,5.5,5.44,5.47,5.48,-0.01,-0.1825,56025.0,30678.255
青松股份,300132.SZ,20231113,5.43,5.51,5.39,5.48,5.42,0.06,1.107,75374.29,41179.49
青松股份,300132.SZ,20231110,5.36,5.48,5.34,5.42,5.4,0.02,0.3704,53423.0,28939.982
青松股份,300132.SZ,20231109,5.42,5.47,5.37,5.4,5.41,-0.01,-0.1848,49074.77,26558.175
青松股份,300132.SZ,20231108,5.45,5.45,5.38,5.41,5.39,0.02,0.3711,55449.13,30025.374
青松股份,300132.SZ,20231107,5.36,5.41,5.33,5.39,5.36,0.03,0.5597,51265.52,27554.636
青松股份,300132.SZ,20231106,5.25,5.39,5.25,5.36,5.26,0.1,1.9011,64218.0,34254.948
青松股份,300132.SZ,20231103,5.28,5.32,5.24,5.26,5.3,-0.04,-0.7547,62495.0,32967.137
青松股份,300132.SZ,20231102,5.3,5.39,5.27,5.3,5.37,-0.07,-1.3035,91103.0,48483.757
青松股份,300132.SZ,20231101,5.25,5.4,5.2,5.37,5.25,0.12,2.2857,125352.52,66829.682
青松股份,300132.SZ,20231031,5.18,5.32,5.17,5.25,5.17,0.08,1.5474,88442.01,46306.236
青松股份,300132.SZ,20231030,5.21,5.24,5.16,5.17,5.21,-0.04,-0.7678,67698.01,35143.341
青松股份,300132.SZ,20231027,5.06,5.23,5.03,5.21,5.06,0.15,2.9644,90259.63,46675.405
青松股份,300132.SZ,20231026,5.1,5.11,5.0,5.06,5.11,-0.05,-0.9785,51501.0,25970.874
青松股份,300132.SZ,20231025,5.05,5.17,5.02,5.11,5.03,0.08,1.5905,70348.01,35976.474
青松股份,300132.SZ,20231024,4.84,5.04,4.83,5.03,4.84,0.19,3.9256,78775.24,39178.111
青松股份,300132.SZ,20231023,4.95,4.98,4.8,4.84,4.96,-0.12,-2.4194,64354.0,31493.419
青松股份,300132.SZ,20231020,5.01,5.06,4.95,4.96,5.02,-0.06,-1.1952,55943.86,27907.479
青松股份,300132.SZ,20231019,4.97,5.18,4.94,5.02,5.0,0.02,0.4,61387.76,31135.276
青松股份,300132.SZ,20231018,5.07,5.07,4.98,5.0,5.08,-0.08,-1.5748,48919.0,24493.174
青松股份,300132.SZ,20231017,5.09,5.14,5.02,5.08,5.09,-0.01,-0.1965,44939.67,22809.407
青松股份,300132.SZ,20231016,5.11,5.17,5.06,5.09,5.11,-0.02,-0.3914,54542.0,27838.798
青松股份,300132.SZ,20231013,5.23,5.25,5.1,5.11,5.25,-0.14,-2.6667,53040.93,27274.41
青松股份,300132.SZ,20231012,5.22,5.25,5.17,5.25,5.18,0.07,1.3514,54975.93,28668.563
青松股份,300132.SZ,20231011,5.18,5.24,5.15,5.18,5.19,-0.01,-0.1927,45243.0,23509.501
青松股份,300132.SZ,20231010,5.18,5.28,5.17,5.19,5.18,0.01,0.1931,42013.0,21875.961
青松股份,300132.SZ,20231009,5.25,5.27,5.15,5.18,5.25,-0.07,-1.3333,44949.0,23317.542
青松股份,300132.SZ,20230928,5.18,5.26,5.18,5.25,5.18,0.07,1.3514,37626.0,19699.826
