stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
三星医疗,601567.SH,20231229,19.74,20.61,19.6,20.5,19.7,0.8,4.0609,85485.4,173636.132
三星医疗,601567.SH,20231228,19.99,19.99,19.64,19.7,19.99,-0.29,-1.4507,111695.5,221077.264
三星医疗,601567.SH,20231227,19.61,20.05,19.51,19.99,19.55,0.44,2.2506,61942.0,122894.734
三星医疗,601567.SH,20231226,19.8,19.9,19.3,19.55,19.81,-0.26,-1.3125,60716.82,118704.233
三星医疗,601567.SH,20231225,19.73,19.94,19.46,19.81,19.83,-0.02,-0.1009,53680.86,105979.743
三星医疗,601567.SH,20231222,19.6,20.0,19.51,19.83,19.66,0.17,0.8647,72855.0,144688.327
三星医疗,601567.SH,20231221,19.54,19.75,19.3,19.66,19.57,0.09,0.4599,45301.22,88559.956
三星医疗,601567.SH,20231220,19.77,19.9,19.53,19.57,19.77,-0.2,-1.0116,52571.3,103637.412
三星医疗,601567.SH,20231219,19.43,19.85,19.4,19.77,19.43,0.34,1.7499,53942.0,106149.655
三星医疗,601567.SH,20231218,19.6,19.69,19.31,19.43,19.64,-0.21,-1.0692,57055.62,110981.681
三星医疗,601567.SH,20231215,19.86,20.18,19.46,19.64,19.9,-0.26,-1.3065,70532.57,139607.884
三星医疗,601567.SH,20231214,19.64,20.09,19.63,19.9,19.82,0.08,0.4036,77011.3,153489.041
三星医疗,601567.SH,20231213,19.17,19.92,19.1,19.82,19.18,0.64,3.3368,108104.15,212948.868
三星医疗,601567.SH,20231212,19.34,19.35,19.05,19.18,19.33,-0.15,-0.776,43327.0,82988.334
三星医疗,601567.SH,20231211,19.16,19.39,19.0,19.33,19.22,0.11,0.5723,74238.08,142858.655
三星医疗,601567.SH,20231208,18.8,19.47,18.78,19.22,18.82,0.4,2.1254,109055.2,209886.244
三星医疗,601567.SH,20231207,18.85,19.01,18.77,18.82,18.91,-0.09,-0.4759,38957.33,73648.618
三星医疗,601567.SH,20231206,19.03,19.15,18.75,18.91,18.98,-0.07,-0.3688,74811.26,141890.879
三星医疗,601567.SH,20231205,19.05,19.19,18.81,18.98,19.15,-0.17,-0.8877,68527.9,129994.459
三星医疗,601567.SH,20231204,19.23,19.3,18.81,19.15,19.25,-0.1,-0.5195,79812.63,152680.303
三星医疗,601567.SH,20231201,19.39,19.75,19.13,19.25,19.5,-0.25,-1.2821,90135.51,174170.606
三星医疗,601567.SH,20231130,18.88,19.77,18.88,19.5,19.01,0.49,2.5776,127937.54,248159.838
三星医疗,601567.SH,20231129,18.72,19.09,18.6,19.01,18.72,0.29,1.5491,96809.0,182949.859
三星医疗,601567.SH,20231128,18.33,19.1,18.33,18.72,18.49,0.23,1.2439,111111.41,208499.742
三星医疗,601567.SH,20231127,18.25,18.88,18.09,18.49,17.62,0.87,4.9376,154946.5,285830.311
三星医疗,601567.SH,20231124,17.72,17.8,17.52,17.62,17.81,-0.19,-1.0668,38357.01,67578.398
三星医疗,601567.SH,20231123,17.31,18.0,17.25,17.81,17.3,0.51,2.948,59995.5,105776.492
三星医疗,601567.SH,20231122,17.4,17.5,17.28,17.3,17.38,-0.08,-0.4603,43056.0,74896.929
三星医疗,601567.SH,20231121,17.51,17.76,17.33,17.38,17.64,-0.26,-1.4739,49249.0,86135.673
三星医疗,601567.SH,20231120,17.27,17.9,17.1,17.64,17.14,0.5,2.9172,83980.89,147160.444
三星医疗,601567.SH,20231117,16.82,17.35,16.71,17.14,16.79,0.35,2.0846,75379.59,128731.693
三星医疗,601567.SH,20231116,16.81,16.99,16.53,16.79,16.9,-0.11,-0.6509,54233.01,90964.136
三星医疗,601567.SH,20231115,16.62,16.99,16.6,16.9,16.56,0.34,2.0531,71326.42,119979.035
三星医疗,601567.SH,20231114,16.79,16.94,16.42,16.56,16.89,-0.33,-1.9538,87293.0,144731.759
三星医疗,601567.SH,20231113,17.04,17.04,16.35,16.89,17.04,-0.15,-0.8803,134895.25,224654.232
三星医疗,601567.SH,20231110,16.7,17.22,16.51,17.04,16.78,0.26,1.5495,118965.55,202149.157
三星医疗,601567.SH,20231109,16.29,16.9,16.24,16.78,16.39,0.39,2.3795,114492.55,191275.644
三星医疗,601567.SH,20231108,16.23,16.45,16.19,16.39,16.14,0.25,1.5489,78465.43,128361.191
三星医疗,601567.SH,20231107,16.31,16.38,15.93,16.14,16.34,-0.2,-1.224,90254.77,145115.901
三星医疗,601567.SH,20231106,16.42,16.6,16.16,16.34,16.3,0.04,0.2454,137814.5,225305.144
三星医疗,601567.SH,20231103,16.04,16.41,15.98,16.3,15.98,0.32,2.0025,77476.99,126100.707
三星医疗,601567.SH,20231102,16.36,16.36,15.94,15.98,16.22,-0.24,-1.4797,68444.41,110045.887
三星医疗,601567.SH,20231101,16.32,16.52,16.12,16.22,16.32,-0.1,-0.6127,80566.37,130918.727
三星医疗,601567.SH,20231031,16.31,16.54,16.29,16.32,16.35,-0.03,-0.1835,109255.84,178980.187
三星医疗,601567.SH,20231030,16.31,16.77,16.28,16.35,16.5,-0.15,-0.9091,154259.51,253527.897
三星医疗,601567.SH,20231027,16.48,16.77,16.02,16.5,16.44,0.06,0.365,167787.65,274215.53
三星医疗,601567.SH,20231026,16.77,17.09,16.31,16.44,16.95,-0.51,-3.0088,182956.65,301468.564
三星医疗,601567.SH,20231025,17.03,17.19,16.75,16.95,16.9,0.05,0.2959,81765.2,139289.587
三星医疗,601567.SH,20231024,16.95,17.17,16.65,16.9,16.85,0.05,0.2967,69341.5,117273.38
三星医疗,601567.SH,20231023,16.93,17.12,16.73,16.85,17.22,-0.37,-2.1487,66950.41,113449.655
三星医疗,601567.SH,20231020,17.6,17.65,17.12,17.22,17.5,-0.28,-1.6,101483.95,175601.682
三星医疗,601567.SH,20231019,17.68,17.92,17.47,17.5,17.94,-0.44,-2.4526,87186.66,153642.865
三星医疗,601567.SH,20231018,18.11,18.11,17.7,17.94,17.99,-0.05,-0.2779,86986.0,155563.428
三星医疗,601567.SH,20231017,18.99,18.99,17.77,17.99,18.11,-0.12,-0.6626,121680.97,218703.004
三星医疗,601567.SH,20231016,18.37,18.37,17.7,18.11,17.94,0.17,0.9476,115577.66,208769.866
三星医疗,601567.SH,20231013,18.18,18.27,17.44,17.94,17.7,0.24,1.3559,147680.0,264765.156
三星医疗,601567.SH,20231012,17.65,17.89,17.57,17.7,17.66,0.04,0.2265,55391.5,97890.058
三星医疗,601567.SH,20231011,18.03,18.04,17.56,17.66,18.0,-0.34,-1.8889,104040.33,184961.158
三星医疗,601567.SH,20231010,18.15,18.18,17.9,18.0,18.03,-0.03,-0.1664,72227.31,130073.916
三星医疗,601567.SH,20231009,18.2,18.29,17.8,18.03,18.12,-0.09,-0.4967,79758.82,143733.155
三星医疗,601567.SH,20230928,18.1,18.38,17.97,18.12,18.08,0.04,0.2212,97830.5,177725.999
三星医疗,601567.SH,20230927,17.94,18.22,17.83,18.08,17.94,0.14,0.7804,129987.33,234287.511
三星医疗,601567.SH,20230926,17.4,18.35,17.29,17.94,17.4,0.54,3.1034,144201.7,257191.077
三星医疗,601567.SH,20230925,16.64,17.48,16.63,17.4,16.72,0.68,4.067,135267.18,233575.949
三星医疗,601567.SH,20230922,16.32,16.8,16.23,16.72,16.23,0.49,3.0191,94681.19,157240.48
三星医疗,601567.SH,20230921,16.27,16.37,16.11,16.23,16.3,-0.07,-0.4294,68523.54,111255.628
三星医疗,601567.SH,20230920,16.25,16.55,16.25,16.3,16.35,-0.05,-0.3058,64562.65,105850.04
三星医疗,601567.SH,20230919,16.33,16.52,16.25,16.35,16.39,-0.04,-0.2441,78214.53,128232.931
三星医疗,601567.SH,20230918,16.21,16.41,16.08,16.39,16.29,0.1,0.6139,99126.43,161564.976
三星医疗,601567.SH,20230915,16.4,16.54,16.14,16.29,16.3,-0.01,-0.0613,109360.67,178098.442
三星医疗,601567.SH,20230914,16.4,16.49,16.22,16.3,16.32,-0.02,-0.1225,45306.63,73881.29
三星医疗,601567.SH,20230913,16.52,16.61,16.18,16.32,16.52,-0.2,-1.2107,69904.52,114068.184
三星医疗,601567.SH,20230912,16.7,16.94,16.48,16.52,16.82,-0.3,-1.7836,55886.04,92919.285
