stock_name,stock_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
民士达,833394.BJ,20231229,18.4,19.46,18.33,18.8,18.59,0.21,1.1296,32886.21,62460.906
民士达,833394.BJ,20231228,18.3,18.96,18.3,18.59,18.36,0.23,1.2527,24461.11,45544.573
民士达,833394.BJ,20231227,19.15,19.15,18.01,18.36,19.32,-0.96,-4.9689,34039.74,62949.684
民士达,833394.BJ,20231226,20.0,20.27,18.63,19.32,20.0,-0.68,-3.4,47429.03,92246.137
民士达,833394.BJ,20231225,19.21,20.14,19.03,20.0,19.18,0.82,4.2753,45599.24,88882.49
民士达,833394.BJ,20231222,18.24,19.47,18.2,19.18,18.84,0.34,1.8047,33608.71,63366.031
民士达,833394.BJ,20231221,21.64,21.98,18.01,18.84,21.83,-2.99,-13.6967,77231.47,154523.657
民士达,833394.BJ,20231220,19.8,22.0,19.52,21.83,19.86,1.97,9.9194,70062.78,146662.6
民士达,833394.BJ,20231219,18.96,20.58,18.58,19.86,19.15,0.71,3.7076,54210.08,105718.266
民士达,833394.BJ,20231218,18.5,19.5,18.19,19.15,18.6,0.55,2.957,35727.77,67914.801
民士达,833394.BJ,20231215,18.58,18.8,17.8,18.6,18.81,-0.21,-1.1164,39439.59,72195.205
民士达,833394.BJ,20231214,17.51,20.2,17.45,18.81,17.63,1.18,6.6931,70394.46,132506.79
民士达,833394.BJ,20231213,16.87,17.88,16.83,17.63,16.99,0.64,3.7669,32080.98,56273.11
民士达,833394.BJ,20231212,16.8,17.2,16.45,16.99,16.74,0.25,1.4934,13851.77,23366.062
民士达,833394.BJ,20231211,17.47,17.66,16.57,16.74,17.4,-0.66,-3.7931,17767.11,30087.548
民士达,833394.BJ,20231208,16.6,17.79,16.6,17.4,16.8,0.6,3.5714,30722.69,52856.976
民士达,833394.BJ,20231207,16.24,16.99,16.24,16.8,16.39,0.41,2.5015,26811.57,44846.177
民士达,833394.BJ,20231206,16.39,17.0,16.03,16.39,16.39,0.0,0.0,27851.2,45859.821
民士达,833394.BJ,20231205,15.55,16.86,15.35,16.39,15.4,0.99,6.4286,33721.08,54724.42
民士达,833394.BJ,20231204,15.76,16.28,14.9,15.4,15.78,-0.38,-2.4081,23946.39,37178.224
民士达,833394.BJ,20231201,16.41,16.96,15.71,15.78,16.33,-0.55,-3.368,29038.1,47224.762
民士达,833394.BJ,20231130,15.99,17.09,15.62,16.33,15.88,0.45,2.8338,37863.65,62115.0
民士达,833394.BJ,20231129,16.9,17.29,15.5,15.88,16.77,-0.89,-5.3071,40690.98,66970.535
民士达,833394.BJ,20231128,16.58,18.0,16.3,16.77,17.4,-0.63,-3.6207,53886.58,91912.988
民士达,833394.BJ,20231127,15.95,17.88,15.7,17.4,15.65,1.75,11.1821,71889.58,122021.05
民士达,833394.BJ,20231124,14.5,15.77,14.5,15.65,14.5,1.15,7.931,32227.12,49396.343
民士达,833394.BJ,20231123,15.17,15.87,14.31,14.5,14.98,-0.48,-3.2043,31350.31,47189.718
民士达,833394.BJ,20231122,14.22,15.08,14.17,14.98,14.26,0.72,5.0491,26912.5,39621.851
民士达,833394.BJ,20231121,14.0,15.18,13.96,14.26,13.91,0.35,2.5162,25276.06,37080.593
民士达,833394.BJ,20231120,13.5,14.04,13.41,13.91,13.48,0.43,3.1899,9042.93,12545.744
民士达,833394.BJ,20231117,13.26,13.51,13.12,13.48,13.39,0.09,0.6721,3385.76,4493.609
民士达,833394.BJ,20231116,13.59,13.73,13.25,13.39,13.68,-0.29,-2.1199,6725.28,9013.186
民士达,833394.BJ,20231115,13.79,14.07,13.61,13.68,13.7,-0.02,-0.146,6488.94,9018.805
民士达,833394.BJ,20231114,13.36,13.83,13.35,13.7,13.43,0.27,2.0104,6843.69,9321.514
民士达,833394.BJ,20231113,13.15,13.53,13.1,13.43,13.22,0.21,1.5885,8812.57,11754.001
民士达,833394.BJ,20231110,13.28,13.3,13.05,13.22,13.28,-0.06,-0.4518,4053.18,5335.719
民士达,833394.BJ,20231109,13.06,13.5,13.04,13.28,13.22,0.06,0.4539,7730.15,10293.82
民士达,833394.BJ,20231108,13.03,13.5,12.88,13.22,13.1,0.12,0.916,14543.96,19187.942
民士达,833394.BJ,20231107,12.1,13.37,12.1,13.1,12.14,0.96,7.9077,21134.06,27084.321
民士达,833394.BJ,20231106,12.21,12.21,11.96,12.14,12.33,-0.19,-1.541,20210.83,24436.523
民士达,833394.BJ,20231103,11.95,12.56,11.94,12.33,11.84,0.49,4.1385,7156.12,8835.311
民士达,833394.BJ,20231102,11.98,12.08,11.69,11.84,12.13,-0.29,-2.3908,3401.4,4030.792
民士达,833394.BJ,20231101,12.04,12.18,11.9,12.13,11.95,0.18,1.5063,1927.58,2325.199
民士达,833394.BJ,20231031,12.59,12.78,11.81,11.95,12.7,-0.75,-5.9055,5736.24,7034.088
民士达,833394.BJ,20231030,12.62,13.0,12.5,12.7,12.71,-0.01,-0.0787,3572.99,4548.456
民士达,833394.BJ,20231027,12.04,12.79,12.02,12.71,12.15,0.56,4.6091,6681.36,8412.129
民士达,833394.BJ,20231026,12.05,12.31,11.9,12.15,12.05,0.1,0.8299,3483.65,4240.271
民士达,833394.BJ,20231025,11.73,12.31,11.6,12.05,11.59,0.46,3.9689,5055.85,6112.507
民士达,833394.BJ,20231024,11.17,11.62,11.0,11.59,11.08,0.51,4.6029,5950.15,6755.997
民士达,833394.BJ,20231023,11.42,11.42,10.92,11.08,11.42,-0.34,-2.9772,6545.87,7253.471
民士达,833394.BJ,20231020,11.73,11.86,11.36,11.42,11.86,-0.44,-3.7099,7385.19,8524.01
民士达,833394.BJ,20231019,12.02,12.08,11.82,11.86,12.13,-0.27,-2.2259,4157.06,4961.749
民士达,833394.BJ,20231018,12.2,12.45,12.04,12.13,12.13,0.0,0.0,3330.58,4063.092
民士达,833394.BJ,20231017,12.35,12.38,12.02,12.13,12.38,-0.25,-2.0194,4889.54,5919.268
民士达,833394.BJ,20231016,12.93,12.93,12.0,12.38,12.92,-0.54,-4.1796,9418.32,11564.762
民士达,833394.BJ,20231013,13.47,13.47,12.9,12.92,13.35,-0.43,-3.221,3465.79,4570.129
民士达,833394.BJ,20231012,13.38,13.44,13.21,13.35,13.3,0.05,0.3759,2622.62,3487.11
民士达,833394.BJ,20231011,13.27,13.46,13.11,13.3,13.19,0.11,0.834,4531.33,6016.252
民士达,833394.BJ,20231010,13.84,13.98,13.08,13.19,13.82,-0.63,-4.5586,5034.16,6751.432
民士达,833394.BJ,20231009,13.8,13.98,13.63,13.82,13.65,0.17,1.2454,1559.91,2158.927
民士达,833394.BJ,20230928,13.66,13.79,13.61,13.65,13.69,-0.04,-0.2922,3737.15,5106.48
民士达,833394.BJ,20230927,13.71,13.84,13.6,13.69,13.7,-0.01,-0.073,2350.62,3218.874
民士达,833394.BJ,20230926,13.74,13.83,13.62,13.7,13.83,-0.13,-0.94,1441.53,1973.061
民士达,833394.BJ,20230925,13.82,14.06,13.8,13.83,14.08,-0.25,-1.7756,1857.29,2571.386
民士达,833394.BJ,20230922,13.8,14.11,13.68,14.08,13.93,0.15,1.0768,1321.96,1842.451
民士达,833394.BJ,20230921,13.83,13.98,13.66,13.93,13.95,-0.02,-0.1434,1184.02,1635.09
民士达,833394.BJ,20230920,13.7,14.04,13.66,13.95,13.7,0.25,1.8248,2220.48,3094.311
民士达,833394.BJ,20230919,13.85,13.86,13.66,13.7,13.95,-0.25,-1.7921,2091.45,2872.458
民士达,833394.BJ,20230918,14.2,14.2,13.88,13.95,14.23,-0.28,-1.9677,3688.94,5163.25
民士达,833394.BJ,20230915,14.51,14.51,14.02,14.23,14.34,-0.11,-0.7671,2453.41,3485.234
民士达,833394.BJ,20230914,14.6,14.6,14.02,14.34,14.56,-0.22,-1.511,886.97,1270.34
民士达,833394.BJ,20230913,14.69,14.81,14.28,14.56,14.82,-0.26,-1.7544,2425.8,3521.727
民士达,833394.BJ,20230912,14.78,15.0,14.65,14.82,14.9,-0.08,-0.5369,1692.05,2508.233
民士达,833394.BJ,20230911,14.5,14.94,14.48,14.9,14.5,0.4,2.7586,2835.12,4182.296
民士达,833394.BJ,20230908,14.54,14.75,14.35,14.5,14.45,0.05,0.346,2578.45,3738.965
民士达,833394.BJ,20230907,14.88,14.93,14.45,14.45,14.9,-0.45,-3.0201,3718.27,5458.13
民士达,833394.BJ,20230906,15.33,15.33,14.72,14.9,15.18,-0.28,-1.8445,5096.47,7577.547
民士达,833394.BJ,20230905,15.49,15.49,15.05,15.18,15.49,-0.31,-2.0013,5188.96,7891.302
民士达,833394.BJ,20230904,15.28,15.7,15.21,15.49,14.83,0.66,4.4504,10432.56,16117.885
民士达,833394.BJ,20230901,14.68,15.2,14.6,14.83,14.68,0.15,1.0218,4758.54,7105.494
民士达,833394.BJ,20230831,14.32,14.7,14.18,14.68,14.4,0.28,1.9444,3278.53,4760.576
民士达,833394.BJ,20230830,14.07,14.5,14.07,14.4,14.06,0.34,2.4182,3070.95,4407.681
民士达,833394.BJ,20230829,13.42,14.21,13.42,14.06,13.44,0.62,4.6131,3448.47,4822.582
民士达,833394.BJ,20230828,14.11,14.37,13.38,13.44,13.43,0.01,0.0745,6777.85,9352.965
民士达,833394.BJ,20230825,13.8,13.95,13.4,13.43,13.91,-0.48,-3.4508,3872.5,5271.955
民士达,833394.BJ,20230824,13.76,14.13,13.73,13.91,13.8,0.11,0.7971,3009.57,4195.591
民士达,833394.BJ,20230823,14.36,14.36,13.78,13.8,14.27,-0.47,-3.2936,4556.27,6337.237
民士达,833394.BJ,20230822,14.86,14.95,13.94,14.27,14.76,-0.49,-3.3198,6394.86,9155.376
民士达,833394.BJ,20230821,14.86,14.99,14.68,14.76,14.85,-0.09,-0.6061,2120.72,3145.612
民士达,833394.BJ,20230818,15.13,15.16,14.78,14.85,14.96,-0.11,-0.7353,2817.26,4201.451
民士达,833394.BJ,20230817,14.66,14.97,14.66,14.96,14.74,0.22,1.4925,1947.11,2893.559
民士达,833394.BJ,20230816,14.7,15.05,14.7,14.74,14.77,-0.03,-0.2031,1726.14,2574.536
民士达,833394.BJ,20230815,14.65,15.1,14.44,14.77,14.66,0.11,0.7503,3073.92,4549.238
民士达,833394.BJ,20230814,15.17,15.17,14.63,14.66,15.22,-0.56,-3.6794,6009.71,8931.526
民士达,833394.BJ,20230811,15.57,15.57,15.05,15.22,15.43,-0.21,-1.361,4535.64,6906.288
民士达,833394.BJ,20230810,15.29,15.68,15.29,15.43,15.26,0.17,1.114,2625.13,4050.528
民士达,833394.BJ,20230809,15.45,15.65,15.22,15.26,15.56,-0.3,-1.928,4634.36,7087.76
民士达,833394.BJ,20230808,15.43,15.75,15.36,15.56,15.6,-0.04,-0.2564,4424.71,6866.685
民士达,833394.BJ,20230807,16.55,16.63,15.46,15.6,16.72,-1.12,-6.6986,20502.37,32477.873
民士达,833394.BJ,20230804,16.8,16.98,16.54,16.72,16.78,-0.06,-0.3576,6571.52,10958.364
民士达,833394.BJ,20230803,17.3,17.3,16.74,16.78,17.01,-0.23,-1.3521,3709.25,6281.757
民士达,833394.BJ,20230802,17.07,17.42,16.9,17.01,17.25,-0.24,-1.3913,4656.41,7943.071
民士达,833394.BJ,20230801,17.54,17.6,17.06,17.25,17.42,-0.17,-0.9759,4221.64,7273.345
民士达,833394.BJ,20230731,17.48,17.66,16.91,17.42,17.28,0.14,0.8102,6436.76,11208.978
民士达,833394.BJ,20230728,16.8,17.6,16.67,17.28,16.82,0.46,2.7348,9526.38,16435.146
民士达,833394.BJ,20230727,16.32,16.89,16.2,16.82,16.45,0.37,2.2492,6589.27,10951.017
民士达,833394.BJ,20230726,16.51,16.51,16.2,16.45,16.45,0.0,0.0,4076.33,6677.068
民士达,833394.BJ,20230725,16.7,16.94,16.12,16.45,16.45,0.0,0.0,11052.05,18161.122
民士达,833394.BJ,20230724,16.68,16.98,16.25,16.45,16.64,-0.19,-1.1418,6802.88,11231.499
民士达,833394.BJ,20230721,16.02,16.67,16.02,16.64,16.01,0.63,3.935,6882.65,11306.149
民士达,833394.BJ,20230720,16.03,16.48,15.77,16.01,15.9,0.11,0.6918,9454.11,15269.034
民士达,833394.BJ,20230719,16.55,16.55,15.71,15.9,16.45,-0.55,-3.3435,9072.44,14490.589
民士达,833394.BJ,20230718,16.36,16.98,16.22,16.45,16.47,-0.02,-0.1214,5367.79,8868.605
民士达,833394.BJ,20230717,16.4,16.69,16.01,16.47,16.45,0.02,0.1216,4086.29,6685.064
民士达,833394.BJ,20230714,15.93,16.55,15.93,16.45,15.81,0.64,4.0481,6188.41,10086.306
民士达,833394.BJ,20230713,15.6,16.1,15.6,15.81,15.5,0.31,2.0,7922.09,12555.706
民士达,833394.BJ,20230712,16.59,16.59,15.5,15.5,16.33,-0.83,-5.0827,9634.54,15307.746
民士达,833394.BJ,20230711,16.7,17.11,16.11,16.33,16.95,-0.62,-3.6578,11190.0,18387.249
民士达,833394.BJ,20230710,17.01,18.5,16.77,16.95,17.2,-0.25,-1.4535,19074.49,33524.216
民士达,833394.BJ,20230707,16.81,17.38,16.51,17.2,17.08,0.12,0.7026,16181.14,27420.06
民士达,833394.BJ,20230706,16.31,17.66,15.8,17.08,16.21,0.87,5.3671,23293.68,39683.031
民士达,833394.BJ,20230705,15.09,16.42,15.03,16.21,15.15,1.06,6.9967,17915.25,28549.806
民士达,833394.BJ,20230704,14.98,15.25,14.97,15.15,15.02,0.13,0.8655,5283.59,7994.568
民士达,833394.BJ,20230703,15.4,15.55,14.77,15.02,15.38,-0.36,-2.3407,9782.03,14728.892
民士达,833394.BJ,20230630,15.58,15.65,15.11,15.38,15.58,-0.2,-1.2837,11650.07,17856.966
民士达,833394.BJ,20230629,15.42,15.87,15.02,15.58,15.4,0.18,1.1688,13578.22,20752.13
民士达,833394.BJ,20230628,14.85,15.58,14.85,15.4,14.97,0.43,2.8724,12319.45,18797.372
民士达,833394.BJ,20230627,15.23,15.37,14.76,14.97,15.18,-0.21,-1.3834,11606.59,17389.207
民士达,833394.BJ,20230626,14.12,15.49,14.0,15.18,14.27,0.91,6.377,27418.16,40995.662
民士达,833394.BJ,20230621,13.86,14.48,13.6,14.27,13.91,0.36,2.5881,13961.56,19678.895
民士达,833394.BJ,20230620,13.4,14.06,13.3,13.91,13.35,0.56,4.1948,11477.95,15841.813
民士达,833394.BJ,20230619,13.62,13.77,13.21,13.35,13.65,-0.3,-2.1978,7960.6,10666.126
民士达,833394.BJ,20230616,13.73,13.98,13.63,13.65,13.78,-0.13,-0.9434,8098.18,11119.985
民士达,833394.BJ,20230615,14.04,14.04,13.54,13.78,13.91,-0.13,-0.9346,10582.59,14502.429
民士达,833394.BJ,20230614,14.08,14.22,13.88,13.91,14.09,-0.18,-1.2775,7230.46,10130.732
民士达,833394.BJ,20230613,13.9,14.24,13.84,14.09,13.83,0.26,1.88,9435.73,13330.963
民士达,833394.BJ,20230612,13.86,13.93,13.61,13.83,13.99,-0.16,-1.1437,7828.04,10767.502
民士达,833394.BJ,20230609,13.93,14.04,13.78,13.99,13.92,0.07,0.5029,5442.93,7572.811
民士达,833394.BJ,20230608,14.41,14.42,13.89,13.92,14.4,-0.48,-3.3333,10287.35,14451.341
民士达,833394.BJ,20230607,14.18,14.67,14.18,14.4,13.95,0.45,3.2258,14218.54,20553.118
民士达,833394.BJ,20230606,14.31,14.46,13.8,13.95,14.31,-0.36,-2.5157,11557.94,16220.85
民士达,833394.BJ,20230605,14.69,14.97,14.18,14.31,14.53,-0.22,-1.5141,10399.01,15018.754
民士达,833394.BJ,20230602,14.81,14.86,14.38,14.53,14.67,-0.14,-0.9543,15930.91,23203.619
民士达,833394.BJ,20230601,15.14,15.73,14.45,14.67,14.93,-0.26,-1.7415,23323.67,34924.488
民士达,833394.BJ,20230531,13.96,15.42,13.92,14.93,13.99,0.94,6.7191,37652.15,55504.756
民士达,833394.BJ,20230530,13.63,14.1,13.13,13.99,13.76,0.23,1.6715,26567.93,36085.746
民士达,833394.BJ,20230529,13.68,14.28,13.64,13.76,13.45,0.31,2.3048,20528.87,28649.608
民士达,833394.BJ,20230526,13.21,13.79,13.03,13.45,13.36,0.09,0.6737,19427.9,25927.729
民士达,833394.BJ,20230525,14.1,14.1,13.36,13.36,13.96,-0.6,-4.298,22938.92,31119.313
民士达,833394.BJ,20230524,14.0,14.85,13.77,13.96,13.94,0.02,0.1435,27637.78,39327.706
民士达,833394.BJ,20230523,13.0,14.4,13.0,13.94,13.08,0.86,6.5749,37156.8,51361.863
民士达,833394.BJ,20230522,12.91,13.26,12.66,13.08,13.11,-0.03,-0.2288,19809.73,25747.291
民士达,833394.BJ,20230519,13.78,14.08,12.93,13.11,13.99,-0.88,-6.2902,30402.64,40752.134
民士达,833394.BJ,20230518,12.08,13.99,12.08,13.99,12.24,1.75,14.2974,50818.56,67210.435
民士达,833394.BJ,20230517,12.16,12.44,11.9,12.24,12.16,0.08,0.6579,17836.76,21720.974
民士达,833394.BJ,20230516,13.0,13.0,12.14,12.16,12.99,-0.83,-6.3895,37435.12,46432.165
民士达,833394.BJ,20230515,12.98,13.58,12.78,12.99,13.15,-0.16,-1.2167,24405.72,31987.43
民士达,833394.BJ,20230512,13.0,13.48,12.63,13.15,13.04,0.11,0.8436,26230.54,34364.909
民士达,833394.BJ,20230511,12.85,13.8,12.61,13.04,12.74,0.3,2.3548,36696.27,48754.217
民士达,833394.BJ,20230510,14.01,14.48,12.6,12.74,14.11,-1.37,-9.7094,53800.4,71481.484
民士达,833394.BJ,20230509,15.09,15.09,14.11,14.11,15.12,-1.01,-6.6799,36907.91,53575.814
民士达,833394.BJ,20230508,14.47,15.28,13.9,15.12,14.58,0.54,3.7037,67887.21,98885.99
民士达,833394.BJ,20230505,13.2,15.95,13.03,14.58,13.39,1.19,8.8872,102015.37,148801.355
民士达,833394.BJ,20230504,12.33,14.26,12.03,13.39,12.41,0.98,7.8969,79239.84,103367.251
民士达,833394.BJ,20230428,12.35,12.78,12.02,12.41,12.08,0.33,2.7318,67208.71,83209.031
民士达,833394.BJ,20230427,12.8,13.46,12.08,12.08,13.21,-1.13,-8.5541,91282.91,115157.2
民士达,833394.BJ,20230426,11.07,13.41,10.52,13.21,11.05,2.16,19.5475,122050.0,148321.503
民士达,833394.BJ,20230425,10.5,11.89,10.33,11.05,6.55,4.5,68.7023,287617.49,316247.55
